Id,Venue_Name,City,State,Country,Year,start,end,Title,Organizers,Degree
National Geographic_2007,National Geographic,"Washington, DC",,United States,2007,2007-05-15,2007-05-15,National Geographic,Allen Carroll,
Indiana University_2007,Indiana University,Bloomington,Indiana,United States,2007,2007-05-17,2007-05-17,University Research Magazine Association,Lauren Bryant,
The 5th International Symposium on Digital Earth_2007,The 5th International Symposium on Digital Earth,San Francisco,California,United States,2007,2007-06-05,2007-06-09,The 5th International Symposium on Digital Earth,Bonnie DeVarco,4
11th International Conference of the International Society for Scientometrics and Informetrics_2007,11th International Conference of the International Society for Scientometrics and Informetrics,Madrid,,Spain,2007,2007-06-25,2007-06-27,11th International Conference of the International Society for Scientometrics and Informetrics,Katy Börner,63
New Network Theory Conference Keynote_2007,New Network Theory Conference Keynote,Amsterdam,,Netherlands,2007,2007-06-29,2007-06-29,New Network Theory Conference Keynote,Katy Börner,63
11th International Conference on Information Visualization_2007,11th International Conference on Information Visualization,Zurich,,Switzerland,2007,2007-07-03,2007-07-06,11th International Conference on Information Visualization,"Sandra Wipfli, Remo Burkhard, Katy Börner, Bruce Herr",64
"Hall of Flags, Administration Building_2007","Hall of Flags, Administration Building",Gaithersburg,Maryland,United States,2007,2007-07-04,2007-07-25,National Institute of Standards and Technology,Patricia Hilton,
"ARchENA, Honggerberg_2007","ARchENA, Honggerberg",Zurich,,Switzerland,2007,2007-07-04,2007-07-26,Visualizing Knowledge,Remo Burkhard,1
SIGGRAPH 2007_2007,SIGGRAPH 2007,San Diego,California,United States,2007,2007-08-05,2007-08-09,34th International Conference and Exhibition on Computer Graphics and Interactive Techniques,,
Office of Intergovernmental Solutions_2007,Office of Intergovernmental Solutions,"Washington, DC",,United States,2007,2007-08-14,2007-08-14,Expedition Workshop/Mapping Public Goods And Services Connecting To Science And Scholarly Knowledge,Susan B. Turnbull,
Third International Conference on e-Social Science_2007,Third International Conference on e-Social Science,Ann Arbor,Michigan,United States,2007,2007-10-08,2007-10-09,Third International Conference on e-Social Science,,
Society for Social Studies of Science (4S)_2007,Society for Social Studies of Science (4S),Montréal,Quebec,Canada,2007,2007-10-11,2007-10-13,Society for Social Studies of Science (4S),Andréa Scharnhorst,5
"School of Library and Information Science, Indiana University_2007","School of Library and Information Science, Indiana University",Bloomington,Indiana,United States,2007,2007-10-15,2007-10-15,Cyberinfrastructure for Network Science Center & InfoVis Lab Annual Open House,,
"Wells Library, Indiana University_2007","Wells Library, Indiana University",Bloomington,Indiana,United States,2007,2007-11-14,2007-11-14,GIS Day 2007,,
Indiana Library Federation Annual Conference_2007,Indiana Library Federation Annual Conference,Indianapolis,Indiana,United States,2007,2007-11-14,2007-11-14,Indiana Library Federation Annual Conference,Sarah Burton,
"Virtual Knowledge Studio, Royal Academy of Arts and Science (KNAW)_2007","Virtual Knowledge Studio, Royal Academy of Arts and Science (KNAW)",Amsterdam,,Netherlands,2007,2007-12-14,2007-12-14,Plenary Meeting: Transformation in and of Research,Andréa Scharnhorst,5
American Museum of Science and Energy_2008,American Museum of Science and Energy,Oak Ridge,Tennessee,United States,2008,2008-01-01,2008-01-01,American Museum of Science and Energy,Ken Mayes,1
University of Alberta_2008,University of Alberta,Edmonton,Alberta,Canada,2008,2008-01-01,2008-01-01,University of Alberta,,
OSTI Meeting_2008,OSTI Meeting,Oak Ridge,Tennessee,United States,2008,2008-01-03,2008-01-03,OSTI Meeting,Katy Börner,63
Interdisciplinary Seminar of the Heraeus Foundation_2008,Interdisciplinary Seminar of the Heraeus Foundation,Bad Honnef,,Germany,2008,2008-01-20,2008-01-24,"Mapping the Evolution of Science Talk, Evolution and Physics – Concepts, Models and Applications",Andréa Scharnhorst,5
Rathenau Institute_2008,Rathenau Institute,The Hague,,Netherlands,2008,2008-01-24,2008-01-24,Rathenau Institute,Peter van den Besselaar,1
Tradewinds Island Resort_2008,Tradewinds Island Resort,St. Pete Beach,Florida,United States,2008,2008-01-24,2008-01-24,SUNBELT XXVIII International Sunbelt Social Network Conference,"Russell Duhon, Ann McCranie",1
Virtual Knowledge Studio_2008,Virtual Knowledge Studio,Amsterdam,,Netherlands,2008,2008-01-25,2008-01-25,Science from Above Talk,,
"Semantic Technologies in Astronomy Workshop, Caltech_2008","Semantic Technologies in Astronomy Workshop, Caltech",Pasadena,California,United States,2008,2008-02-18,2008-02-21,Science of Science Keynote,Matthew J. Graham,
NSF Building_2008,NSF Building,"Washington, DC",,United States,2008,2008-03-10,2008-03-11,NSF Workshop on Knowledge Management and Visualization Tools in Support of Discovery (I),,
National Cancer Institute_2008,National Cancer Institute,"Washington, DC",,United States,2008,2008-03-12,2008-03-12,Recommendations for Evaluating Large Interdisciplinary Research Initiatives Talk,"Xuemei Feng, NIH/NCI",
Designing cyberinfrastructure to enable US- China collaboration in tobacco research Workshop_2008,Designing cyberinfrastructure to enable US- China collaboration in tobacco research Workshop,Beijing,,China,2008,2008-03-27,2008-03-29,Designing cyberinfrastructure to enable US- China collaboration in tobacco research Workshop,"Noshir Contractor, Daniel Zheng",2
San Diego Marriott_2008,San Diego Marriott,La Jolla,California,United States,2008,2008-03-31,2008-03-31,"Cyberinfrastructure in Behavioral Medicine, Expert Panel Workshop",Katy Börner,63
National Research Council_2008,National Research Council,Ottawa,,Canada,2008,2008-04-03,2008-06-27,National Research Council,,
New York Hall of Science_2008,New York Hall of Science,Queens,New York,United States,2008,2008-04-07,2008-04-08,NSF Workshop on Knowledge Management and Visualization Tools in Support of Discovery (II),"Katy Börner, Bonnie Huang",63
Association of Amercian Geographers Annual Meeting_2008,Association of Amercian Geographers Annual Meeting,Boston,Massachusetts,United States,2008,2008-04-15,2008-04-19,Association of Amercian Geographers Annual Meeting,Hamid Ekbia,
28th CNLS Annual Conference_2008,28th CNLS Annual Conference,Santa Fe,New Mexico,United States,2008,2008-05-12,2008-05-13,Challenges in Information Science and Technology,Frank Alexander,
The National Science Library of the Chinese Academy of Sciences_2008,The National Science Library of the Chinese Academy of Sciences,Beijing,,China,2008,2008-05-17,2008-06-30,The National Science Library of the Chinese Academy of Sciences,,
Indiana University Information Technology Strategic Plan 2 (ITSP2) event_2008,Indiana University Information Technology Strategic Plan 2 (ITSP2) event,Bloomington,Indiana,United States,2008,2008-05-20,2008-05-20,3rd iteration and Illuminated Diagrams on display,,
Erasmus University Rotterdam_2008,Erasmus University Rotterdam,Rotterdam,,Netherlands,2008,2008-06-13,2008-09-30,"Inaugural lecture of Paul Wouters, chair of Dynamics of Knowledge","Carmen Heijmerink, Kim de Vries van Overdam, Andréa Scharnhorst",5
"Institute of Cognitive Sciences (ISC), Université du Québec_2008","Institute of Cognitive Sciences (ISC), Université du Québec",Montréal,,Canada,2008,2008-06-28,2008-07-06,Summer School on Social Cognition (Minds and Societies),"Stevan Harnad, Guillaume Chicoisne",
"21st Century Science Maps Talk, Perimeter Institute_2008","21st Century Science Maps Talk, Perimeter Institute",Waterloo,Ontario,Canada,2008,2008-09-08,2008-09-12,Science in the 21st Century,Sabine Hossenfelder,
